geneSymbol	ensemblId	geneName	overallScore	literature	genetic_association	clinical	animal_model	genetic_literature	rna_expression
RBPJ	ENSG00000168214	recombination signal binding protein for immunoglobulin kappa J region	0.34649944577773617	0.7161255169923177	0.5341590016770849				
ANKS1A	ENSG00000064999	ankyrin repeat and sterile alpha motif domain containing 1A	0.3461303861302056		0.5693582024303567				
BANK1	ENSG00000153064	B cell scaffold protein with ankyrin repeats 1	0.34526773683857653	0.7954020374096181	0.5281691079787825				
HIPK1	ENSG00000163349	homeodomain interacting protein kinase 1	0.34470964399802806	0.012158615952232422	0.56641325870667				
MAPK14	ENSG00000112062	mitogen-activated protein kinase 14	0.3437241561280053	0.5543383480581624	0.5043211897451274	0.19504126834907762			
FSCN1	ENSG00000075618	fascin actin-bundling protein 1	0.3426645522656485	0.13744904680685055	0.5567847165543334				
USP8	ENSG00000138592	ubiquitin specific peptidase 8	0.34206793288351084		0.5626757753142196				
ADGRL2	ENSG00000117114	adhesion G protein-coupled receptor L2	0.3418015161159635	0.06535256074324927	0.5589699119242932				
CSMD1	ENSG00000183117	CUB and Sushi multiple domains 1	0.3415953061429544	0.024317231904464845	0.5606824786187955				
CSF2RB	ENSG00000100368	colony stimulating factor 2 receptor subunit beta	0.341276501028778	0.11166506664463456	0.5089037076270337	0.17964355069423402	0.26402434540272707		0.03703921247417079
LONRF2	ENSG00000170500	LON peptidase N-terminal domain and ring finger 2	0.34052005404706975	0.012158615952232422	0.5595217013659037				
ERAP2	ENSG00000164308	endoplasmic reticulum aminopeptidase 2	0.33986630764960785	0.8140011093693559	0.5179393215111557				0.018670140047637142
IFNLR1	ENSG00000185436	interferon lambda receptor 1	0.33888978845110385	0.398183162961985	0.5375388109011755				
RPS10	ENSG00000124614	ribosomal protein S10	0.338267701854149	0.01823792392834863	0.5555127876378315				
HDGFL1	ENSG00000112273	HDGF like 1	0.33812020015859046		0.5561820547453163				
XCR1	ENSG00000173578	X-C motif chemokine receptor 1	0.3353073653005275	0.03250741070562141	0.5499297844557972				
POSTN	ENSG00000133110	periostin	0.3351099280779083	0.47118886833309487	0.5276709423352357				
CHRNG	ENSG00000196811	cholinergic receptor nicotinic gamma subunit	0.33317623899825866	0.01823792392834863	0.547137717850459				
SSPN	ENSG00000123096	sarcospan	0.33295471369843554		0.5476852217497705				
ANXA3	ENSG00000138772	annexin A3	0.33286119831081484	0.21228595374306655	0.5360897532865815				0.03723052789408592
FOS	ENSG00000170345	Fos proto-oncogene, AP-1 transcription factor subunit	0.3327680789755658	0.7358257671048686	0.5095783039163785				0.04538832888515583
PFKFB3	ENSG00000170525	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	0.3325463378883426	0.37811753450830043	0.5278290505260066				0.012534628499460316
OPCML	ENSG00000183715	opioid binding protein/cell adhesion molecule like	0.33218987256212207		0.5464271161572947				
ADAMTS2	ENSG00000087116	ADAM metallopeptidase with thrombospondin type 1 motif 2	0.33201326042826906	0.13374477547455663	0.5394493638340858				
CAMTA1	ENSG00000171735	calmodulin binding transcription activator 1	0.33193363500341794		0.546005624830139				
